m1, m2, m3, m4, m5, m6, m7, m8, m9, m10, m11, m12, m13, m14, m15, m16, m17, m18, m19, m20, m21, m22, m23, m24, m25, m26, m27, m28, m29, m30, m31, m32, m33, m34, m35, m36, m37, m38, m39, m40, m41, m42, m43, m44, m45, m46, m47, m48, m49, m50
0, 96, 55, 12, 2, 66, 64, 4, 71, 10, 97, 5, 100, 85, 76, 81, 37, 57, 58, 24, 70, 27, 81, 54, 62, 95, 4, 38, 3, 14, 9, 97, 34, 90, 80, 41, 99, 24, 30, 25, 97, 88, 55, 52, 4, 5, 93, 97, 72, 48
0, 92, 75, 7, 50, 34, 12, 75, 28, 52, 58, 1, 82, 7, 48, 50, 63, 63, 16, 90, 39, 99, 88, 73, 31, 11, 89, 7, 14, 42, 51, 93, 89, 89, 85, 36, 19, 65, 34, 70, 5, 6, 15, 31, 43, 83, 76, 95, 41, 77
0, 91, 76, 10, 7, 80, 92, 76, 18, 41, 40, 44, 33, 21, 0, 82, 46, 21, 52, 22, 98, 16, 78, 3, 27, 88, 47, 47, 32, 59, 58, 54, 22, 98, 62, 99, 77, 10, 69, 76, 17, 99, 67, 77, 51, 77, 5, 40, 14, 56
0, 84, 39, 59, 3, 36, 12, 99, 97, 49, 64, 90, 7, 95, 49, 42, 20, 62, 11, 23, 17, 21, 44, 15, 25, 61, 24, 95, 23, 80, 49, 82, 53, 58, 81, 86, 40, 30, 67, 46, 14, 80, 77, 11, 40, 95, 46, 20, 22, 12
0, 30, 30, 26, 1, 3, 62, 3, 97, 9, 26, 70, 63, 65, 81, 88, 40, 88, 6, 9, 11, 48, 80, 46, 26, 88, 0, 72, 2, 80, 95, 59, 17, 67, 50, 43, 45, 62, 74, 39, 90, 52, 60, 76, 49, 97, 47, 25, 99, 95
0, 30, 4, 21, 36, 4, 62, 45, 58, 97, 84, 80, 48, 99, 17, 78, 66, 68, 64, 33, 82, 63, 23, 79, 53, 12, 63, 40, 33, 92, 18, 20, 34, 13, 87, 56, 78, 10, 6, 68, 91, 58, 62, 9, 2, 62, 4, 6, 26, 38
0, 30, 70, 61, 14, 38, 45, 59, 24, 53, 99, 0, 63, 75, 91, 46, 0, 93, 88, 4, 81, 68, 26, 84, 100, 68, 10, 75, 43, 68, 65, 28, 36, 52, 74, 47, 70, 82, 77, 2, 39, 62, 34, 18, 66, 96, 47, 36, 43, 64
0, 22, 58, 86, 41, 85, 58, 10, 60, 70, 7, 60, 94, 11, 99, 33, 40, 34, 32, 84, 89, 26, 6, 53, 43, 4, 46, 78, 41, 92, 76, 18, 63, 89, 27, 96, 10, 47, 12, 86, 57, 17, 44, 43, 1, 82, 58, 10, 32, 3
0, 8, 47, 22, 36, 6, 55, 44, 36, 7, 70, 31, 84, 65, 25, 52, 2, 25, 66, 11, 6, 77, 27, 69, 89, 16, 53, 67, 91, 98, 89, 31, 50, 30, 84, 83, 2, 27, 45, 35, 64, 85, 27, 52, 0, 66, 71, 40, 14, 12
0, 8, 37, 28, 42, 65, 22, 5, 78, 4, 100, 80, 79, 62, 48, 44, 67, 20, 99, 37, 70, 42, 78, 89, 87, 6, 24, 34, 57, 68, 27, 13, 26, 49, 33, 17, 85, 26, 16, 33, 30, 21, 15, 77, 82, 41, 23, 98, 13, 62
0, 15, 14, 89, 87, 98, 85, 85, 16, 19, 3, 15, 67, 36, 42, 89, 70, 80, 34, 27, 96, 73, 52, 21, 58, 39, 15, 83, 58, 47, 63, 77, 24, 65, 23, 15, 14, 58, 95, 0, 2, 9, 86, 97, 33, 98, 65, 56, 85, 9
0, 41, 73, 79, 30, 73, 50, 98, 23, 60, 92, 83, 84, 8, 54, 48, 56, 40, 24, 34, 44, 79, 1, 11, 92, 49, 94, 74, 96, 26, 9, 75, 74, 6, 85, 47, 91, 45, 11, 100, 47, 37, 57, 36, 37, 49, 49, 0, 79, 41
0, 40, 68, 47, 60, 75, 37, 83, 57, 38, 57, 76, 13, 60, 91, 95, 30, 38, 63, 78, 85, 70, 81, 14, 16, 22, 73, 72, 10, 86, 98, 17, 22, 61, 57, 48, 63, 14, 59, 38, 81, 74, 73, 90, 87, 84, 9, 31, 71, 84
1, 57, 26, 60, 53, 97, 96, 87, 21, 54, 63, 83, 25, 52, 53, 90, 39, 43, 84, 97, 30, 38, 53, 53, 26, 97, 31, 5, 75, 48, 53, 56, 17, 15, 53, 31, 55, 73, 10, 62, 74, 68, 65, 49, 4, 85, 96, 41, 93, 20
1, 84, 100, 37, 39, 86, 29, 57, 79, 84, 13, 26, 68, 82, 25, 45, 92, 51, 32, 48, 77, 62, 71, 63, 18, 92, 36, 12, 42, 42, 81, 77, 29, 28, 30, 19, 9, 13, 58, 84, 38, 54, 84, 90, 21, 34, 42, 96, 31, 10
1, 82, 27, 49, 68, 8, 71, 79, 73, 79, 1, 84, 90, 81, 53, 38, 10, 85, 24, 23, 55, 18, 31, 55, 88, 37, 4, 20, 22, 38, 20, 89, 52, 13, 51, 10, 17, 78, 54, 43, 93, 61, 100, 99, 79, 36, 90, 0, 21, 52
1, 10, 87, 32, 90, 33, 88, 85, 33, 35, 96, 66, 41, 18, 41, 36, 67, 32, 52, 34, 81, 77, 75, 33, 79, 46, 67, 12, 28, 33, 77, 89, 20, 59, 58, 99, 73, 94, 5, 49, 10, 100, 39, 94, 76, 6, 54, 51, 66, 26
1, 30, 83, 59, 56, 91, 74, 52, 19, 92, 50, 62, 74, 91, 17, 66, 24, 64, 9, 68, 16, 97, 20, 100, 35, 67, 24, 77, 98, 31, 98, 60, 45, 15, 27, 37, 78, 9, 64, 96, 87, 44, 15, 83, 21, 45, 64, 39, 62, 64
1, 31, 80, 57, 76, 42, 22, 81, 34, 34, 80, 81, 68, 27, 83, 18, 54, 51, 100, 1, 45, 47, 85, 5, 66, 100, 64, 70, 100, 65, 46, 15, 97, 54, 89, 21, 75, 64, 58, 75, 80, 75, 85, 88, 33, 78, 10, 65, 95, 28
