n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, n24, n25, n26, n27, n28, n29, n30, n31, n32, n33, n34, n35, n36, n37, n38, n39, n40, n41, n42, n43, n44, n45, n46, n47, n48, n49, n50
0, 4, 7, 60, 91, 97, 31, 99, 21, 52, 4, 88, 17, 96, 84, 84, 4, 74, 1, 48, 37, 23, 86, 46, 54, 87, 51, 46, 42, 64, 51, 29, 58, 74, 99, 3, 83, 100, 98, 32, 94, 29, 67, 40, 30, 41, 29, 51, 23, 28
0, 21, 90, 74, 18, 55, 54, 0, 1, 96, 82, 6, 40, 12, 68, 60, 76, 24, 56, 26, 1, 48, 33, 20, 56, 0, 86, 12, 65, 9, 60, 79, 47, 35, 75, 85, 12, 6, 94, 58, 32, 29, 87, 24, 69, 98, 49, 88, 80, 40
0, 34, 66, 38, 73, 13, 26, 92, 0, 29, 46, 89, 52, 33, 33, 9, 86, 57, 75, 91, 60, 81, 92, 16, 28, 16, 11, 26, 95, 59, 51, 71, 41, 30, 70, 65, 35, 20, 69, 76, 61, 87, 46, 44, 58, 50, 11, 47, 97, 28
0, 36, 33, 85, 15, 58, 49, 75, 51, 6, 67, 23, 11, 72, 54, 5, 96, 53, 93, 71, 46, 75, 8, 33, 82, 19, 50, 64, 6, 35, 57, 62, 85, 49, 88, 13, 66, 10, 99, 7, 82, 60, 46, 42, 32, 71, 18, 15, 49, 100
0, 67, 68, 38, 37, 40, 22, 43, 2, 8, 41, 35, 97, 78, 37, 11, 67, 84, 100, 56, 88, 86, 81, 92, 73, 34, 34, 58, 6, 10, 82, 98, 9, 68, 37, 19, 15, 85, 90, 78, 32, 39, 12, 93, 90, 21, 98, 27, 81, 42
0, 76, 78, 6, 26, 25, 43, 0, 62, 5, 33, 40, 64, 35, 70, 48, 25, 78, 90, 87, 40, 23, 74, 93, 28, 41, 95, 65, 85, 37, 1, 12, 12, 97, 0, 61, 56, 79, 12, 91, 45, 40, 92, 77, 23, 79, 52, 62, 44, 71
0, 84, 72, 97, 36, 28, 93, 46, 53, 94, 58, 23, 74, 33, 99, 3, 52, 50, 19, 67, 34, 13, 7, 73, 16, 64, 11, 30, 72, 94, 36, 18, 95, 66, 82, 18, 70, 88, 4, 4, 65, 2, 7, 45, 9, 18, 31, 46, 29, 1
0, 85, 37, 12, 44, 4, 28, 3, 72, 17, 93, 70, 89, 11, 23, 64, 49, 33, 75, 35, 43, 40, 95, 51, 42, 88, 28, 76, 28, 9, 24, 42, 70, 87, 83, 66, 10, 73, 78, 34, 97, 38, 37, 30, 1, 54, 49, 34, 55, 61
0, 92, 39, 95, 98, 21, 75, 28, 51, 55, 37, 10, 85, 51, 69, 85, 51, 4, 75, 31, 12, 100, 45, 83, 21, 30, 7, 22, 44, 86, 35, 5, 62, 29, 9, 69, 26, 21, 27, 83, 34, 55, 99, 52, 84, 20, 87, 46, 20, 67
0, 93, 5, 85, 21, 79, 26, 43, 43, 93, 24, 7, 21, 80, 79, 55, 1, 60, 80, 24, 18, 58, 94, 34, 90, 64, 99, 47, 5, 87, 19, 1, 60, 69, 66, 18, 89, 75, 39, 100, 12, 90, 91, 22, 91, 38, 52, 51, 6, 9
1, 23, 31, 86, 78, 13, 40, 40, 29, 63, 57, 72, 49, 13, 20, 49, 27, 54, 54, 69, 38, 7, 66, 62, 40, 7, 54, 50, 26, 48, 0, 79, 64, 57, 61, 95, 83, 14, 96, 28, 37, 70, 94, 64, 79, 93, 12, 84, 5, 46
1, 27, 47, 56, 92, 29, 99, 11, 54, 91, 18, 95, 89, 22, 65, 8, 36, 33, 80, 67, 97, 54, 65, 39, 53, 87, 85, 75, 35, 33, 59, 100, 69, 90, 48, 92, 69, 60, 7, 96, 15, 68, 75, 76, 65, 20, 14, 17, 68, 52
1, 28, 61, 25, 87, 10, 86, 60, 98, 79, 60, 21, 11, 10, 19, 0, 12, 100, 100, 36, 87, 71, 99, 90, 46, 34, 92, 31, 90, 86, 29, 46, 51, 55, 48, 17, 62, 89, 63, 45, 27, 31, 48, 23, 18, 54, 87, 63, 11, 23
1, 66, 39, 64, 62, 31, 74, 66, 36, 53, 50, 76, 86, 82, 48, 57, 45, 25, 94, 45, 89, 41, 1, 74, 53, 57, 6, 18, 82, 88, 76, 9, 75, 34, 99, 62, 87, 86, 58, 12, 90, 82, 54, 9, 92, 72, 78, 61, 87, 55
1, 71, 84, 1, 51, 43, 42, 28, 47, 44, 66, 77, 60, 11, 67, 51, 32, 24, 54, 3, 35, 88, 2, 86, 65, 68, 70, 38, 10, 34, 57, 7, 2, 1, 86, 43, 64, 97, 4, 21, 99, 88, 90, 21, 60, 48, 51, 71, 47, 77
1, 78, 50, 26, 23, 11, 8, 48, 79, 61, 0, 66, 99, 1, 85, 69, 9, 98, 99, 65, 12, 10, 84, 26, 28, 65, 93, 40, 71, 68, 45, 2, 39, 18, 43, 16, 89, 16, 39, 100, 92, 85, 66, 84, 2, 40, 39, 69, 44, 45
1, 82, 55, 62, 81, 34, 17, 15, 56, 10, 45, 4, 57, 47, 61, 80, 85, 28, 79, 19, 4, 97, 60, 86, 10, 79, 27, 93, 70, 68, 3, 32, 51, 45, 20, 23, 25, 1, 69, 20, 16, 70, 16, 10, 42, 58, 9, 41, 4, 100
2, 10, 84, 48, 9, 97, 61, 79, 69, 91, 98, 81, 41, 100, 78, 51, 96, 45, 35, 93, 88, 24, 76, 84, 94, 17, 43, 92, 63, 85, 77, 46, 51, 59, 91, 70, 89, 95, 56, 90, 73, 95, 1, 77, 67, 49, 9, 33, 8, 10
2, 12, 74, 64, 39, 66, 34, 70, 29, 44, 5, 60, 99, 87, 30, 27, 41, 100, 20, 24, 21, 37, 3, 99, 44, 38, 25, 79, 83, 60, 14, 20, 20, 59, 51, 74, 38, 64, 54, 55, 95, 11, 66, 43, 62, 15, 67, 17, 64, 75
2, 18, 4, 20, 65, 75, 14, 79, 30, 12, 28, 70, 64, 15, 40, 86, 80, 59, 4, 99, 45, 61, 43, 81, 48, 46, 13, 53, 30, 7, 97, 70, 82, 77, 13, 43, 75, 88, 66, 29, 81, 29, 83, 43, 80, 53, 76, 14, 68, 4
